Cod Transaccion;Num. unidades;Valor unidad para las operaciones del dia t;Valor fondo al cierre del dia t;Num. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. ano
98;149608666.886;21350.76;3194258305551.99;489;10.362687;11.561233;12.997893;12.514078
99;1078443.79;11197.16;12075502478.64;2;11.686681;12.899565;14.353411;11.564942
100;183578.148;3394.17;623096225.42;8;10.787894;11.849632;13.898319;13.327685
101;1517595.447;3272.09;4965707302.88;18;10.131853;11.187326;13.223915;12.65665
102;7367882.785;3213.27;23674983446.05;530;9.806731;10.859098;12.889692;12.324097
103;294860343.828;3242.37;956046144243.25;89;9.969049;11.02297;13.056557;12.490128
104;41419709.091;3394.17;140585710365.80;36;10.787894;11.849632;13.898319;13.327685
105;23645466.669;3242.37;76667336625.30;333;9.969049;11.02297;13.056557;12.490128
106;491986.314;3433.12;1689049180.08;38;10.384484;11.857876;13.183714;12.715478
107;31278032.38;3404.40;106482779061.18;126;10.221062;11.692288;13.016168;12.548623
108;23304.875;3423.52;79784590.19;10;10.329948;11.802626;13.12781;12.659805
109;375499.932;3442.76;1292756626.24;32;10.43905;11.913181;13.239673;12.771206
110;21562985.745;12422.33;267862615254.39;1;10.058132;11.527187;12.849116;12.38226
111;584171.106;20072.26;11725633107.38;19;10.036567;11.231581;12.664007;12.181618
112;149608666.886;21350.76;3194258305551.99;489;10.362687;11.561233;12.997893;12.514078
113;1078443.79;11197.16;12075502478.64;2;11.686681;12.899565;14.353411;11.564942
114;8214895.398;14547.05;119502523571.29;1;11.686678;12.899565;14.353411;13.863809
115;24.309;11848.96;288036.94;1;10.090785;11.286388;12.719518;12.236892
116;41419709.091;3394.17;140585710365.80;36;10.787894;11.849632;13.898319;13.327685
117;7367882.785;3213.27;23674983446.05;530;9.806731;10.859098;12.889692;12.324097
118;183578.148;3394.17;623096225.42;8;10.787894;11.849632;13.898319;13.327685
119;1517595.447;3272.09;4965707302.88;18;10.131853;11.187326;13.223915;12.65665
120;294860343.828;3242.37;956046144243.25;89;9.969049;11.02297;13.056557;12.490128
121;23645466.669;3242.37;76667336625.30;333;9.969049;11.02297;13.056557;12.490128
122;3897448.635;14385.08;56065104790.62;96;9.495811;11.350899;13.342187;12.945452
123;936522.07;12727.50;11919582501.04;1;9.172245;11.024294;13.009105;12.613104
124;13926651.174;24531.37;341639893792.72;5417;9.172245;11.02223;13.007113;12.610772
125;20455762.084;18312.18;374589687930.44;79;9.984762;11.851044;13.84994;13.450803
126;52133916.727;18838.72;982136075688.63;296;9.984762;11.851131;13.851689;13.452329
127;10221692.22;18281.32;186866034339.00;19;10.809431;12.695717;14.710614;14.308482
128;34570.634;12647.80;437242502.29;2;-0.667917;159.8436;0.0;0.0
129;446829.346;15309.64;6840798264.37;42;-1.304699;158.17555;57.68096;38.10236
