Cod Transacción;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
346;151,088.256;$15,675.45;$2,368,376,153.54;2;0.080537;0.48667;4.424793;9.345521
347;709,930.233;$23,198.09;$16,469,024,796.02;1;48.577816;1.99783;8.163736;11.684921
348;8,439,143.886;$23,713.56;$200,122,157,229.12;1;48.577816;1.99783;8.163736;11.684921
349;1,482,036.21;$10,951.00;$16,229,773,452.65;1;-3.48519;13.215111;18.090832;0.0
350;1,049,006.377;$10,145.55;$10,642,746,608.40;2;-20.099274;5.60496;0.0;0.0
351;552,618.736;$10,479.61;$5,791,230,185.68;3;-12.904734;8.239836;-4.763439;-3.658035
352;2,223,054.315;$10,548.68;$23,450,289,676.66;2;-3.226348;13.938003;5.30379;0.0
353;1,422,561.054;$10,778.17;$15,332,606,590.44;2;-11.647712;7.040751;6.750771;1.210906
354;962,708.662;$10,272.52;$9,889,440,972.28;1;-19.531038;5.942639;7.142505;0.0
355;14,515.45;$10,394.66;$150,883,122.11;2;0.105136;10.261471;-9.363082;-5.287448
356;6,097,372.499;$16,258.28;$99,132,761,461.26;2;0.770768;-1.669508;-29.508553;-7.186026
357;609.991;$16,251.85;$9,913,492.04;1;0.770777;-1.66951;-29.508512;-7.185093
358;6,499,787.899;$13,388.03;$87,019,346,394.74;2;4.353967;27.199991;7.549073;3.500476
359;31,347,896.148;$12,275.89;$384,823,264,597.74;2;1.239794;11.062175;9.142437;9.347824
360;107,166.373;$441,346.20;$47,297,472,143.48;3;4.080329;4.530951;36.125057;47.53108
361;62,032,315,189.318;$0.16;$9,971,743,901.42;1;-0.403445;-5.367617;-14.366779;-90.21046
362;2,109,824,633.973;$1.88;$3,964,378,165.34;3;-0.403445;-5.84723;-10.322344;-92.90849
363;12,906,454,952.511;$0.86;$11,042,592,016.02;3;-0.455874;-4.454965;-9.994614;-84.49927
364;776,172,085,106.602;$0.16;$127,746,103,624.41;2;-0.455874;-2.316872;-1.503692;-90.66363
365;165,213,506,178.208;$0.30;$50,348,346,281.76;2;-0.455874;-4.064978;-10.231476;-85.514305
366;13,683,470.489;$9,796.37;$134,048,349,598.11;2;-0.315367;-4.759371;0.0;0.0
367;4,164,636,160,550.59;$0.02;$67,519,336,391.92;3;-0.315367;-3.700107;-4.584539;-88.65473
368;42,543,457.258;$12,731.29;$541,633,206,505.29;4;1.34E-4;12.359345;14.009628;13.631421
369;43,898,934.659;$12,673.52;$556,353,864,222.65;3;5.9E-5;12.815527;14.608357;14.546498
370;3,331,157.697;$10,032.10;$33,418,519,183.52;7;0.028843;-1.901774;-6.341295;-2.270778
371;5,024,298.149;$10,234.60;$51,421,660,640.89;1;0.028843;-0.489309;-5.230735;-1.829055
372;51,752,508.532;$5,170.87;$267,605,422,993.70;2;0.863658;6.842284;11.316763;8.824181
373;7,124,329.829;$12,053.53;$85,873,340,254.25;4;0.007657;56.545692;20.65391;0.0
374;9,229,687.322;$10,807.31;$99,748,053,651.68;2;1.5E-4;13.23651;15.395893;0.0
375;846,761.38;$10,698.35;$9,058,952,163.64;2;0.010437;11.851365;12.627576;0.0
376;100,000;$10,158.32;$1,015,832,192.35;1;0.010437;10.267472;0.0;0.0
377;5,160,942.1;$10,373.17;$53,535,353,102.79;3;10.085242;11.949449;0.0;0.0
378;12,362.756;$8,430.37;$104,222,662.40;1;0.350729;-3.35765;0.0;0.0
379;1,236,236.669;$8,417.48;$10,405,996,319.71;1;0.350729;-5.158741;0.0;0.0
380;15,713,871.456;$12,229.74;$192,176,492,925.32;76;9.781141;10.608975;12.368745;11.17257
381;3,299,873.451;$14,075.22;$46,446,460,265.30;22;11.198038;12.036527;13.818946;12.607375
382;4,112,051.611;$12,390.97;$50,950,438,635.45;1227;10.321819;11.153719;12.922131;11.720081
383;289,001.555;$12,489.11;$3,609,372,966.56;22;10.648782;11.483141;13.25678;12.051177
384;21,932.362;$12,610.51;$276,578,225.62;2;11.198038;12.036527;13.818939;12.607368
385;1,446,524.87;$12,555.13;$18,161,314,466.74;39;10.867834;11.70384;13.480979;12.272997
386;65,983.477;$12,456.28;$821,908,677.64;25;10.539579;11.373117;13.145009;11.940594
387;1,829,626.479;$14,696.13;$26,888,427,046.84;592;9.781141;10.608975;12.368745;11.172152
388;18,642,763.303;$12,375.15;$230,707,060,025.75;12;9.388962;12.535577;13.899337;12.952916
389;9,531,569.567;$12,890.32;$122,865,003,016.95;167;8.849149;11.98028;13.337808;12.395802
390;31,710,576.322;$12,555.08;$398,127,774,929.31;196;8.102278;11.211983;12.559748;11.624427
391;881,218.224;$12,481.56;$10,998,975,594.04;80;8.102278;11.211983;12.559748;11.624427
392;420,837.626;$12,875.52;$5,418,502,719.60;12;9.497566;12.647296;14.012407;13.065048
393;1,088,870.354;$19,977.86;$21,753,299,066.91;340;8.102278;11.211983;12.559748;11.624427
